,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,tree,Use trees - notUsed,Use trees,0,0,total,134594.0057761603,134594.0057761603
1,notUsed,tree,Use trees - notUsed,Use trees,0,0,dead,998.7426391258057,998.7426391258057
2,notUsed,tree,Use trees - notUsed,Use trees,0,0,high,0.0,0.0
3,notUsed,tree,Use trees - notUsed,Use trees,0,0,carrySuit,0.0,0.0
4,notUsed,tree,Use trees - notUsed,Use trees,0,1,total,134025.4997610618,134025.4997610618
5,notUsed,tree,Use trees - notUsed,Use trees,0,1,dead,2549.7154608805527,2549.7154608805527
6,notUsed,tree,Use trees - notUsed,Use trees,0,1,high,0.0,0.0
7,notUsed,tree,Use trees - notUsed,Use trees,0,1,carrySuit,0.0,0.0
8,notUsed,tree,Use trees - notUsed,Use trees,0,2,total,131833.41224619033,131833.41224619033
9,notUsed,tree,Use trees - notUsed,Use trees,0,2,dead,2511.4464241923815,2511.4464241923815
10,notUsed,tree,Use trees - notUsed,Use trees,0,2,high,0.0,0.0
11,notUsed,tree,Use trees - notUsed,Use trees,0,2,carrySuit,0.0,0.0
