,sampleType,structureType,scenario,design,run,year,type,quantity,treeQuantity
0,notUsed,snag,Use snags - notUsed,Use snags,0,0,total,1561.3803266488592,99666.59195271165
1,notUsed,snag,Use snags - notUsed,Use snags,0,0,dead,0.0,1040.8949818476683
2,notUsed,snag,Use snags - notUsed,Use snags,0,0,high,382.8870973132159,17.19950940252528
3,notUsed,snag,Use snags - notUsed,Use snags,0,0,carrySuit,0.0,0.0
4,notUsed,snag,Use snags - notUsed,Use snags,0,1,total,1561.3803266488592,98153.021571718
5,notUsed,snag,Use snags - notUsed,Use snags,0,1,dead,0.0,1877.1781977247963
6,notUsed,snag,Use snags - notUsed,Use snags,0,1,high,382.8870973132159,4.912956212322687
7,notUsed,snag,Use snags - notUsed,Use snags,0,1,carrySuit,0.0,0.0
8,notUsed,snag,Use snags - notUsed,Use snags,0,2,total,1561.3803266488592,96342.72804024514
9,notUsed,snag,Use snags - notUsed,Use snags,0,2,dead,0.0,1836.6134216893922
10,notUsed,snag,Use snags - notUsed,Use snags,0,2,high,382.8870973132159,2.303280961066906
11,notUsed,snag,Use snags - notUsed,Use snags,0,2,carrySuit,0.0,0.0
12,notUsed,snag,Use snags - notUsed,Use snags,0,3,total,1561.3803266488592,96910.41111198252
13,notUsed,snag,Use snags - notUsed,Use snags,0,3,dead,0.0,2652.6184108053258
14,notUsed,snag,Use snags - notUsed,Use snags,0,3,high,382.8870973132159,2.2159499864805854
15,notUsed,snag,Use snags - notUsed,Use snags,0,3,carrySuit,0.0,0.0
16,notUsed,snag,Use snags - notUsed,Use snags,0,4,total,1561.3803266488592,96009.55797412389
17,notUsed,snag,Use snags - notUsed,Use snags,0,4,dead,0.0,2640.801309011624
18,notUsed,snag,Use snags - notUsed,Use snags,0,4,high,382.8870973132159,0.5239844171417753
19,notUsed,snag,Use snags - notUsed,Use snags,0,4,carrySuit,0.0,0.0
20,notUsed,snag,Use snags - notUsed,Use snags,0,5,total,1561.3803266488592,95746.22102570589
21,notUsed,snag,Use snags - notUsed,Use snags,0,5,dead,0.0,3248.037856513593
22,notUsed,snag,Use snags - notUsed,Use snags,0,5,high,382.8870973132159,0.0
23,notUsed,snag,Use snags - notUsed,Use snags,0,5,carrySuit,0.0,0.0
24,notUsed,snag,Use snags - notUsed,Use snags,0,6,total,1561.3803266488592,94251.61914082304
25,notUsed,snag,Use snags - notUsed,Use snags,0,6,dead,0.0,3343.6843690964092
26,notUsed,snag,Use snags - notUsed,Use snags,0,6,high,382.8870973132159,0.0
27,notUsed,snag,Use snags - notUsed,Use snags,0,6,carrySuit,0.0,0.0
28,notUsed,snag,Use snags - notUsed,Use snags,0,7,total,1561.3803266488592,93277.08286247347
29,notUsed,snag,Use snags - notUsed,Use snags,0,7,dead,0.0,3493.6976565682394
30,notUsed,snag,Use snags - notUsed,Use snags,0,7,high,382.8870973132159,0.0
31,notUsed,snag,Use snags - notUsed,Use snags,0,7,carrySuit,0.0,0.0
32,notUsed,snag,Use snags - notUsed,Use snags,0,8,total,1561.3803266488592,93216.34668968366
33,notUsed,snag,Use snags - notUsed,Use snags,0,8,dead,0.0,3935.764159540821
34,notUsed,snag,Use snags - notUsed,Use snags,0,8,high,382.8870973132159,0.0
35,notUsed,snag,Use snags - notUsed,Use snags,0,8,carrySuit,0.0,0.0
36,notUsed,snag,Use snags - notUsed,Use snags,0,9,total,1561.3803266488592,92281.64511736638
37,notUsed,snag,Use snags - notUsed,Use snags,0,9,dead,0.0,3943.7591009102825
38,notUsed,snag,Use snags - notUsed,Use snags,0,9,high,382.8870973132159,0.0
39,notUsed,snag,Use snags - notUsed,Use snags,0,9,carrySuit,0.0,0.0
40,notUsed,snag,Use snags - notUsed,Use snags,0,10,total,1561.3803266488592,94207.66367116981
41,notUsed,snag,Use snags - notUsed,Use snags,0,10,dead,0.0,4540.249036171582
42,notUsed,snag,Use snags - notUsed,Use snags,0,10,high,382.8870973132159,0.0
43,notUsed,snag,Use snags - notUsed,Use snags,0,10,carrySuit,0.0,0.0
44,notUsed,snag,Use snags - notUsed,Use snags,0,11,total,1561.3803266488592,93096.7931759398
45,notUsed,snag,Use snags - notUsed,Use snags,0,11,dead,0.0,4511.267275132304
46,notUsed,snag,Use snags - notUsed,Use snags,0,11,high,382.8870973132159,0.0
47,notUsed,snag,Use snags - notUsed,Use snags,0,11,carrySuit,0.0,0.0
48,notUsed,snag,Use snags - notUsed,Use snags,0,12,total,1561.3803266488592,94296.19546461894
49,notUsed,snag,Use snags - notUsed,Use snags,0,12,dead,0.0,4905.323449058346
50,notUsed,snag,Use snags - notUsed,Use snags,0,12,high,382.8870973132159,0.0
51,notUsed,snag,Use snags - notUsed,Use snags,0,12,carrySuit,0.0,0.0
52,notUsed,snag,Use snags - notUsed,Use snags,0,13,total,1561.3803266488592,93481.03117517453
53,notUsed,snag,Use snags - notUsed,Use snags,0,13,dead,0.0,4977.47018480499
54,notUsed,snag,Use snags - notUsed,Use snags,0,13,high,382.8870973132159,0.0
55,notUsed,snag,Use snags - notUsed,Use snags,0,13,carrySuit,0.0,0.0
56,notUsed,snag,Use snags - notUsed,Use snags,0,14,total,1561.3803266488592,94448.0923557056
57,notUsed,snag,Use snags - notUsed,Use snags,0,14,dead,0.0,5199.686355497446
58,notUsed,snag,Use snags - notUsed,Use snags,0,14,high,382.8870973132159,0.0
59,notUsed,snag,Use snags - notUsed,Use snags,0,14,carrySuit,0.0,0.0
60,notUsed,snag,Use snags - notUsed,Use snags,0,15,total,1561.3803266488592,96444.10179382983
61,notUsed,snag,Use snags - notUsed,Use snags,0,15,dead,0.0,5530.701594390066
62,notUsed,snag,Use snags - notUsed,Use snags,0,15,high,382.8870973132159,0.0
63,notUsed,snag,Use snags - notUsed,Use snags,0,15,carrySuit,0.0,0.0
64,notUsed,snag,Use snags - notUsed,Use snags,0,16,total,1561.3803266488592,95837.63734254624
65,notUsed,snag,Use snags - notUsed,Use snags,0,16,dead,0.0,5543.270916794447
66,notUsed,snag,Use snags - notUsed,Use snags,0,16,high,382.8870973132159,0.0
67,notUsed,snag,Use snags - notUsed,Use snags,0,16,carrySuit,0.0,0.0
68,notUsed,snag,Use snags - notUsed,Use snags,0,17,total,1561.3803266488592,98241.4278292157
69,notUsed,snag,Use snags - notUsed,Use snags,0,17,dead,0.0,5908.915181128729
70,notUsed,snag,Use snags - notUsed,Use snags,0,17,high,382.8870973132159,0.0
71,notUsed,snag,Use snags - notUsed,Use snags,0,17,carrySuit,0.0,0.0
72,notUsed,snag,Use snags - notUsed,Use snags,0,18,total,1561.3803266488592,96683.90945166053
73,notUsed,snag,Use snags - notUsed,Use snags,0,18,dead,0.0,5858.785655387328
74,notUsed,snag,Use snags - notUsed,Use snags,0,18,high,382.8870973132159,0.0
75,notUsed,snag,Use snags - notUsed,Use snags,0,18,carrySuit,0.0,0.0
76,notUsed,snag,Use snags - notUsed,Use snags,0,19,total,1561.3803266488592,98808.1569845898
77,notUsed,snag,Use snags - notUsed,Use snags,0,19,dead,0.0,6113.015571755567
78,notUsed,snag,Use snags - notUsed,Use snags,0,19,high,382.8870973132159,0.0
79,notUsed,snag,Use snags - notUsed,Use snags,0,19,carrySuit,0.0,0.0
80,notUsed,snag,Use snags - notUsed,Use snags,0,20,total,1561.3803266488592,98835.37030137653
81,notUsed,snag,Use snags - notUsed,Use snags,0,20,dead,0.0,6173.183659426909
82,notUsed,snag,Use snags - notUsed,Use snags,0,20,high,382.8870973132159,0.0
83,notUsed,snag,Use snags - notUsed,Use snags,0,20,carrySuit,0.0,0.0
84,notUsed,snag,Use snags - notUsed,Use snags,0,21,total,1561.3803266488592,100271.83172234579
85,notUsed,snag,Use snags - notUsed,Use snags,0,21,dead,0.0,6316.397472586206
86,notUsed,snag,Use snags - notUsed,Use snags,0,21,high,382.8870973132159,0.0
87,notUsed,snag,Use snags - notUsed,Use snags,0,21,carrySuit,0.0,0.0
88,notUsed,snag,Use snags - notUsed,Use snags,0,22,total,1561.3803266488592,102873.61058487982
89,notUsed,snag,Use snags - notUsed,Use snags,0,22,dead,0.0,6558.298961891486
