"","x","y","ymin","ymax","se"
"1",27,102.581410664628,-273.37234234159,478.535163670846,159.011487940489
"2",27.3946488294314,101.6143599605,-263.666162206031,466.89488212703,154.497192489572
"3",27.7892976588629,100.813079394949,-254.215155232929,455.841314022826,150.160937077093
"4",28.1839464882943,100.170303926933,-245.040801693721,445.381409547587,146.008734104627
"5",28.5785953177258,99.6787685154093,-236.163615595481,435.521152626299,142.046187287484
"6",28.9732441471572,99.3312081193343,-227.602832089384,426.265248328053,138.278359442588
"7",29.3678929765886,99.1203576976653,-219.37612869305,417.61684408838,134.709654578093
"8",29.7625418060201,99.0389522093592,-211.499397893724,409.577302312443,131.34372171478
"9",30.1571906354515,99.0815695913742,-203.984527738229,402.147666920978,128.183295672274
"10",30.5518394648829,99.2607063610632,-196.822232886457,395.343645608584,125.229734633778
"11",30.9464882943144,99.5807326892249,-190.012352640482,389.173818018931,122.484819016535
"12",31.3411371237458,100.04229009683,-183.557631222287,383.642211415947,119.949980837171
"13",31.7357859531773,100.646020104848,-177.459167072459,378.751207282155,117.62595602098
"14",32.1304347826087,101.392564234249,-171.716188231109,374.501316699607,115.512689398179
"15",32.5250836120401,102.282564006004,-166.325851342812,370.890979354819,113.609249692064
"16",32.9197324414716,103.316660941082,-161.283075593925,367.91639747609,111.913759281975
"17",33.314381270903,104.495496560455,-156.580422233268,365.571415354178,110.42334324598
"18",33.7090301003344,105.819712385091,-152.208028681574,363.847453451756,109.134101492145
"19",34.1036789297659,107.289949935962,-148.153603647634,362.733503519557,108.04110669288
"20",34.4983277591973,108.906850734036,-144.402486324817,362.21618779289,107.138429322398
"21",34.8929765886288,110.671056300286,-140.937768950321,362.279881550892,106.419189493756
"22",35.2876254180602,112.583208155679,-137.740478164071,362.90689447543,105.875633665488
"23",35.6822742474916,114.643947821188,-134.789807118386,364.077702760762,105.499232813534
"24",36.0769230769231,116.853916817781,-132.063387529774,365.771221165337,105.280797496882
"25",36.4715719063545,119.21375666643,-129.537589089797,367.965102422657,105.210604494863
"26",36.866220735786,121.724108888104,-127.187832978851,370.636050755059,105.278529409351
"27",37.2608695652174,124.385615003773,-124.988906621294,373.760136628841,105.474179791985
"28",37.6555183946488,127.198916534408,-122.915268120847,377.313101189663,105.787023906625
"29",38.0501672240803,130.164655000979,-120.941330774354,381.270640776312,106.20651106584
"30",38.4448160535117,133.283471924455,-119.041720396127,385.608664245037,106.722180467506
"31",38.8394648829431,136.556008825808,-117.191500621437,390.303518273053,107.323756488028
"32",39.2341137123746,139.982907226006,-115.3663636681,395.332178120113,108.001229365887
"33",39.628762541806,143.564808646021,-113.542786055642,400.672403347684,108.744921063829
"34",40.0234113712375,147.302354606823,-111.698150416796,406.302859630442,109.545536789634
"35",40.4180602006689,151.196186629381,-109.810835752261,412.203209011023,110.394203169811
"36",40.8127090301003,155.246946234666,-107.860279291117,418.354171760449,111.282494413765
"37",41.2073578595318,159.449084118414,-105.831339756465,424.729507993294,112.201659338484
"38",41.6020066889632,163.770002844038,-103.728722955501,431.268728643577,113.139901042206
"39",41.9966555183946,168.206209854528,-101.537870902146,437.950290611203,114.089584959001
"40",42.3913043478261,172.759298917029,-99.24209498553,444.760692819588,115.044326650511
"41",42.7859531772575,177.430863798683,-96.8260626120212,451.687790209387,115.998315212536
"42",43.180602006689,182.222498266635,-94.275702875357,458.720699408626,116.946273377751
"43",43.5752508361204,187.135796088027,-91.5781123294489,465.849704505504,117.88341766185
"44",43.9698996655518,192.172351030005,-88.721462701351,473.06616476136,118.805419330294
"45",44.3645484949833,197.333756859711,-85.6949118800731,480.362425599494,119.708366750589
"46",44.7591973244147,202.621607344288,-82.4885191074351,487.731733796012,120.588729521845
"47",45.1538461538462,208.037496250882,-79.0931649705333,495.168157472297,121.443324635194
"48",45.5484949832776,213.583017346635,-75.5004765406103,502.66651123388,122.269284810905
"49",45.943143812709,219.259764398691,-71.702757808946,510.222286606328,123.064029075908
"50",46.3377926421405,225.069331174194,-67.6929254262172,517.831587774605,123.825235584433
"51",46.7324414715719,231.013311440287,-63.4644496480404,525.491072528614,124.550816640642
"52",47.1270903010033,237.093298964114,-59.0113003178276,533.197898246056,125.238895851812
"53",47.5217391304348,243.310887512819,-54.3278976716377,540.949672697275,125.887787321004
"54",47.9163879598662,249.667670853545,-49.4090677225885,548.744409429679,126.495976776678
"55",48.3110367892977,256.165242753436,-44.2500019699239,556.580487476797,127.062104531451
"56",48.7056856187291,262.805196979636,-38.8462211762229,564.456615135495,127.584950161485
"57",49.1003344481605,269.589127299288,-33.1935429625655,572.371797561142,128.063418800704
"58",49.494983277592,276.518627479537,-27.2880529834382,580.325307942511,128.496528949078
"59",49.8896321070234,283.595291287525,-21.1260794590211,588.31666203407,128.883401700932
"60",50.2842809364548,290.820712490396,-14.7041708609698,596.345595841761,129.223251307033
"61",50.6789297658863,298.196484855294,-8.01907656790382,604.412046278491,129.515376992737
"62",51.0735785953177,305.724202149363,-1.06773032789721,612.516134626622,129.759155963367
"63",51.4682274247492,313.405458139746,6.15276361315631,620.658152666335,129.954037537137
"64",51.8628762541806,321.241846593587,13.6451418366252,628.838551350548,130.099538355152
"65",52.257525083612,329.234961278029,21.4119906271445,637.057931928914,130.19523862726
"66",52.6521739130435,337.386395960218,29.4557524751667,645.317039445268,130.240779381767
"67",53.0468227424749,345.697744407294,37.7787302598326,653.616758554756,130.235860696266
"68",53.4414715719064,354.170600386404,46.3830891440082,661.9581116288,130.180240896129
"69",53.8361204013378,362.80655766469,55.2708561911934,670.342259138186,130.073736716531
