"","x","y","ymin","ymax","se"
"1",27,0.172317905875738,-79.2607240325473,79.6053598442988,36.1800413261226
"2",27.3946488294314,0.145740016797415,-77.5496831686089,77.8411632022037,35.3885933750052
"3",27.7892976588629,0.121174703623927,-75.8874770599856,76.1298264672334,34.6203052891021
"4",28.1839464882943,0.0982052345073832,-74.27849418822,74.4749046572347,33.8769861149334
"5",28.5785953177258,0.076414877599896,-72.7263495983578,72.8791793535576,33.1600926153379
"6",28.9732441471572,0.0553869010535757,-71.2338149665266,71.3445887686337,32.4706974167601
"7",29.3678929765886,0.0347045730205326,-69.8027661721585,69.8721753181996,31.8094651295262
"8",29.7625418060201,0.0139511616528776,-68.4341531647235,68.4620554880293,31.1766386227889
"9",30.1571906354515,-0.0071685125044522,-67.127454779393,67.1131177543841,30.5718460692936
"10",30.5518394648829,-0.0277933497887029,-65.8769390835237,65.8213523839463,29.9928689094303
"11",30.9464882943144,-0.0476463019003442,-64.6806004605895,64.5853078567888,29.4389198175682
"12",31.3411371237458,-0.0667009681319756,-63.5376402289285,63.4042382926646,28.9096470363505
"13",31.7357859531773,-0.084930947776197,-62.447214638914,62.2773527433616,28.4046782809328
"14",32.1304347826087,-0.102309840125609,-61.4084333088908,61.2038136286396,27.9236200265848
"15",32.5250836120401,-0.11881124447281,-60.4203580576692,60.1827355687235,27.466056976917
"16",32.9197324414716,-0.134408760110401,-59.4820021832949,59.2131846630741,27.0315517353756
"17",33.314381270903,-0.149075986330982,-58.5923302318189,58.2941782591569,26.6196446999223
"18",33.7090301003344,-0.162786522427152,-57.7502582919332,57.4246852470789,26.2298541972345
"19",34.1036789297659,-0.175513967691512,-56.9546548417617,56.6036269063787,25.8616768684005
"20",34.4983277591973,-0.187231921416661,-56.2043421630519,55.8298783202185,25.5145883130529
"21",34.8929765886288,-0.197913982895199,-55.4980983258357,55.1022703600453,25.1880439933396
"22",35.2876254180602,-0.207533751419727,-54.8346597337562,54.4195922309168,24.8814803932647
"23",35.6822742474916,-0.216064826282843,-54.2127242071602,53.7805945545945,24.5943164229711
"24",36.0769230769231,-0.223480806777149,-53.6309545682651,53.1839929547108,24.3259550517071
"25",36.4715719063545,-0.229755292195242,-53.0879826807383,52.6284720963478,24.0757851477675
"26",36.866220735786,-0.234861881829725,-52.5824138853669,52.1126901217074,23.8431834988457
"27",37.2608695652174,-0.238774174973197,-52.1128317645816,51.6352834146352,23.6275169821724
"28",37.6555183946488,-0.241465770918256,-51.6778031617635,51.194871619927,23.4281448507008
"29",38.0501672240803,-0.242910268957505,-51.2758833767504,50.7900628388354,23.2444210995491
"30",38.4448160535117,-0.243081268383541,-50.9056214568798,50.4194589201127,23.0756968759559
"31",38.8394648829431,-0.241952368488965,-50.5655655032484,50.0816607662704,22.9213228961674
"32",39.2341137123746,-0.239497168566378,-50.2542679145195,49.7752735773868,22.7806518338791
"33",39.628762541806,-0.235689267908378,-49.9702904953372,49.4989119595204,22.6530406470082
"34",40.0234113712375,-0.230502265807566,-49.7122093629025,49.2512048312874,22.5378528125337
"35",40.4180602006689,-0.223909761556542,-49.4786195931806,49.0308000700675,22.4344604427435
"36",40.8127090301003,-0.215885354447906,-49.268139557122,48.8363688482262,22.3422462602904
"37",41.2073578595318,-0.206402643774256,-49.0794149068194,48.6666096192709,22.2606054138001
"38",41.6020066889632,-0.195435228828195,-48.9111221812726,48.5202517236162,22.1889471202201
"39",41.9966555183946,-0.18295670890232,-48.7619720110685,48.3960585932638,22.1266961244819
"40",42.3913043478261,-0.168940683289233,-48.6307119104785,48.2928305439,22.073293971242
"41",42.7859531772575,-0.153360751281532,-48.5161286540021,48.209407151439,22.0282000873457
"42",43.180602006689,-0.136190512171819,-48.4170502420443,48.1446692177007,21.9908926771513
"43",43.5752508361204,-0.117403565252692,-48.3323474670926,48.0975403365873,21.9608694358896
"44",43.9698996655518,-0.0969735098167525,-48.2609350973805,48.066988077747,21.9376480887978
"45",44.3645484949833,-0.0748739451565987,-48.201772699578,48.0520248092648,21.9207667658366
"46",44.7591973244147,-0.0510784705648321,-48.1538651255571,48.0517081844275,21.9097842234019
"47",45.1538461538462,-0.0255606853340515,-48.1162626908014,48.0651413201333,21.9042799255864
"48",45.5484949832776,0.00170581124314295,-48.0880610736504,48.0914726961367,21.9038539982873
"49",45.943143812709,0.0307474198741511,-48.0684009653854,48.1298958051337,21.9081270698286
"50",46.3377926421405,0.0615905412663733,-48.0564675012918,48.1796485838246,21.9167400118214
"51",46.7324414715719,0.0942615761272091,-48.0514895023738,48.2400126546282,21.9293535937818
"52",47.1270903010033,0.12878692516406,-48.0527385564752,48.3103124068033,21.9456480646012
"53",47.5217391304348,0.165192989084324,-48.0595279662636,48.3899139444322,21.9653226733754
"54",47.9163879598662,0.203506168595404,-48.0712115899691,48.4782239271599,21.9880951413863
"55",48.3110367892977,0.243124480489965,-48.0819579614522,48.5682069224321,22.0110351708943
"56",48.7056856187291,0.282762250044815,-48.0801252165495,48.6456497166392,22.0282545461174
"57",49.1003344481605,0.322470123421828,-48.0651791363662,48.7101193832098,22.0395330100814
"58",49.494983277592,0.362344680511117,-48.03714346962,48.7618328306422,22.044925369878
"59",49.8896321070234,0.402482501202794,-47.996202185265,48.8011671876706,22.0445594094687
"60",50.2842809364548,0.442980165386971,-47.9426820268181,48.828642357592,22.038627943556
"61",50.6789297658863,0.48393425295376,-47.877036260231,48.8449047661385,22.0273814150892
"62",51.0735785953177,0.525441343793273,-47.7998294874962,48.8507121750827,22.0111209781881
