"x","y","ymin","ymax","se"
0.1,4.14655286319033,-9.02212568171132,28.9113515843917,9.6769074658426
0.583802675585284,3.63746192316072,-8.98434411502098,26.4064406683902,9.02826142433959
1.06760535117057,3.15477134152538,-9.20907567680294,23.9128737796609,8.44947690215913
1.55140802675585,2.69842062384681,-10.0990479410379,22.6439388989105,8.35280276529294
2.03521070234114,2.26834927568752,-12.8105427078882,20.5787131862405,8.51766731993081
2.51901337792642,1.86449680261002,-15.6538656019273,19.2805740703626,8.911846855176
3.00281605351171,1.48680271017681,-18.5647859232661,18.9787822297746,9.57744085536752
3.48661872909699,1.13520650395038,-21.3371476088924,19.8531496820313,10.5077289007458
3.97042140468227,0.809647689493257,-24.3521548991387,21.6230158792768,11.728359892453
4.45422408026756,0.510065772367932,-27.1747598258123,23.8270160476223,13.0106571105701
4.93802675585284,0.236400258136912,-29.6384995444961,26.9115415267943,14.4260308855333
5.42182943143813,-0.0114093476372998,-32.1019807415288,29.7634593709782,15.7820000287008
5.90563210702341,-0.233423539392196,-35.13286101798,32.66530057457,17.2954493858546
6.3894347826087,-0.429702811565275,-37.6110186839974,35.754338364908,18.7156523083942
6.87323745819398,-0.600307658594032,-40.2996586449407,39.464646604427,20.3480370534101
7.35704013377926,-0.745298574915962,-42.7845928226945,42.996048797445,21.8828167398315
7.84084280936455,-0.86473605496856,-45.2747272521158,46.8060597605585,23.4899966869067
8.32464548494983,-0.958680593189326,-48.0511545028254,50.8688652847118,25.2346989253921
8.80844816053512,-1.02719268401575,-50.8071112063315,55.0313095453607,26.9995971305337
9.2922508361204,-1.07033282188533,-53.1726630476872,59.3714081780088,28.7102222514531
9.77605351170569,-1.08816150123557,-55.8390364877494,63.884951284762,30.5418336154366
10.259856187291,-1.08073921650395,-58.2628574723964,68.1155602504601,32.2393922762389
10.7436588628763,-1.04812646212797,-60.5167147887269,71.9678363806909,33.7970793799535
11.2274615384615,-0.990383732545135,-62.4135741642452,76.218957262,35.3654416903687
11.7112642140468,-0.907571522192934,-64.5240474815079,80.9956436714122,37.1223701920715
12.1950668896321,-0.799750325508864,-66.5177298595159,85.2222283622114,38.7091730157467
12.6788695652174,-0.66698063693042,-68.424148822233,89.6954686642534,40.3366371138996
13.1626722408027,-0.509322950895098,-70.5139478989766,94.6308733183847,42.1287809227963
13.646474916388,-0.326837761840392,-72.8410632155634,99.3735622922824,43.9323024254709
14.1302775919732,-0.119585564203801,-74.534901131452,102.931438446165,45.2720254024532
14.6140802675585,0.112373147577177,-76.4228597821114,106.857192037299,46.7551152600538
15.0978829431438,0.368977879065053,-78.1305729500317,110.77991771326,48.1914516998194
15.5816856187291,0.650168135822331,-79.2416067165651,114.670751347477,49.4674382816435
16.0654882943144,0.955883423411509,-80.9185178467687,118.524496506249,50.8783199880148
16.5492909698997,1.2860632473951,-82.4906739700162,122.335956755875,52.2516915117071
17.033093645485,1.64064711333559,-84.0351886019857,126.099935662655,53.6058990471022
17.5168963210702,2.01957452679551,-85.1062293835251,129.811236792887,54.8258842286766
18.0006989966555,2.42278499333734,-85.8607393938851,133.368054972778,55.9257128486386
18.4845016722408,2.8502180185236,-86.6586730814505,136.722286744292,56.9849387310568
18.9683043478261,3.30181310791679,-87.6256433519962,140.006330351293,58.0693810467575
19.4521070234114,3.77750976707942,-89.0430445381591,143.215779225737,59.2496999397693
19.9359096989967,4.27724750157398,-90.2155069571694,146.346226799578,60.3473810603947
20.4197123745819,4.80096581696298,-90.9821613271115,149.393266504772,61.320262202011
20.9035150501672,5.34860421880893,-91.7749892464121,152.352491773273,62.2774186274708
21.3873177257525,5.92010221267433,-92.3754835799636,155.240353486194,63.1673053740199
21.8711204013378,6.51539930412168,-92.38873902148,160.172533455579,64.4288960400662
22.3549230769231,7.1344349987135,-92.8851133202571,163.06620608795,65.2937039306651
22.8387257525084,7.77714880201227,-93.4383334367963,165.998472322936,66.1828586121767
23.3225284280936,8.44348021958051,-93.5868402943677,168.811351682358,66.938314279777
23.8063311036789,9.13336875698073,-93.4936292087023,171.498991936863,67.6001584555014
24.2901337792642,9.84675391977542,-94.0704736346585,174.006108485414,68.3868831938961
24.7739364548495,10.5835752135271,-94.4454142038098,176.270637410905,69.0602172486518
25.2577391304348,11.3437721437982,-94.55242122172,178.399238963011,69.6305255573293
25.7415418060201,12.1272842161514,-95.0456438602858,179.433403344922,70.0201651033693
26.2253444816054,12.934050936149,-95.3595041031857,180.986683657269,70.4964764695037
26.7091471571906,13.7640118093537,-95.4695594937933,182.582993832716,70.9317738077831
27.1929498327759,19.1918144385835,-78.0501088846385,90.7281913968998,43.0556888473312
27.6767525083612,19.779826527889,-78.1265776346292,90.5757492299818,43.0363078736253
28.1605551839465,20.3869425473767,-77.8380770923459,89.4923939241139,42.6863446470561
28.6443578595318,21.0136968467758,-78.1912899066228,89.749261754992,42.8419774646976
29.1281605351171,21.6606237758157,-78.1934148973587,89.7101042034501,42.8325303828594
29.6119632107023,22.3282576842256,-78.0202025951849,90.7427025650371,43.0517615204648
30.0957658862876,23.0171329217348,-77.784225418994,91.1246024057569,43.0889866899875
30.5795685618729,24.6277949475258,-70.599834579856,94.0665980349576,42.006743013983
31.0633712374582,25.2581528384326,-69.9001899824047,96.3359082924613,42.4071679272617
31.5471739130435,25.8966883369965,-69.3896477275049,97.2276598802835,42.5044152060685
32.0309765886288,26.5440836251311,-69.2186241281133,98.2054616349762,42.7102259599718
32.514779264214,27.2010208847498,-69.4006995281753,100.215901397955,43.2695410525842
