"","x","y","ymin","ymax","se","samplingType"
"1",27.05575,0.943253754097866,-0.798966700238218,2.68547420843395,0.888564203743738,"linear"
"2",27.4493996655518,0.869920755384007,-0.833810540727687,2.5736520514957,0.868934031141124,"linear"
"3",27.8430493311037,0.799132074951364,-0.867239048682583,2.46550319858531,0.849879661858066,"linear"
"4",28.2366989966555,0.730121914745618,-0.900100464063756,2.36034429355499,0.831443142770346,"linear"
"5",28.6303486622074,0.662124476712452,-0.933227706389983,2.25747665981489,0.813658707048903,"linear"
"6",29.0239983277592,0.594373962797546,-0.967436930328592,2.15618485592368,0.796552037484698,"linear"
"7",29.417647993311,0.526104574946584,-1.00352639502094,2.0557355449141,0.780139689824098,"linear"
"8",29.8112976588629,0.456550515105246,-1.04227573875634,1.95537676896683,0.764428722839353,"linear"
"9",30.2049473244147,0.385045555947211,-1.08434244861592,1.85443356051034,0.749414678846018,"linear"
"10",30.5985969899666,0.313045882675648,-1.12817706960968,1.75426883496097,0.735049988551892,"linear"
"11",30.9922466555184,0.241312589535525,-1.17297328306281,1.65559846213386,0.721311586673022,"linear"
"12",31.3858963210702,0.169893888773582,-1.21866716155349,1.55845493910065,0.70819145818353,"linear"
"13",31.7795459866221,0.0988379926365623,-1.26519365542571,1.46286964069883,0.695681015697629,"linear"
"14",32.1731956521739,0.0281931133712085,-1.31248654495009,1.36887277169251,0.683771075070785,"linear"
"15",32.5668453177258,-0.0419925367757358,-1.36047840201825,1.27649332846678,0.672451835863126,"linear"
"16",32.9604949832776,-0.111670745557531,-1.40910056279118,1.18575907167612,0.661712867389635,"linear"
"17",33.3541446488294,-0.180793300727433,-1.45828311258649,1.09669651113162,0.651543101012352,"linear"
"18",33.7477943143813,-0.249311990038698,-1.50795488410002,1.00933090402263,0.641930829233379,"linear"
"19",34.1414439799331,-0.317178601244588,-1.55804346981662,0.923686267327446,0.632863712024582,"linear"
"20",34.535093645485,-0.384344922098357,-1.60847524917869,0.839785404981973,0.624328790684068,"linear"
"21",34.9287433110368,-0.450762740353264,-1.6591754307588,0.757649950052268,0.616312509344978,"linear"
"22",35.3223929765886,-0.516383843762566,-1.7100681093345,0.677300421809369,0.608800744084679,"linear"
"23",35.7160426421405,-0.581160020079521,-1.761076337404,0.598756297244961,0.60177883939906,"linear"
"24",36.1096923076923,-0.645043057057387,-1.81212221032467,0.522036096209892,0.59523165162473,"linear"
"25",36.5033419732441,-0.707984742449421,-1.86312696391765,0.447157479018804,0.589143598719157,"linear"
"26",36.896991638796,-0.769936864008881,-1.91401108307638,0.374137355058615,0.583498715652976,"linear"
"27",37.2906413043478,-0.830851209489025,-1.9646944196562,0.302992000678153,0.578280714535849,"linear"
"28",37.6842909698997,-0.890679566643109,-2.01509631771856,0.233737184432345,0.573473048493292,"linear"
"29",38.0779406354515,-0.949373723224393,-2.06513574406336,0.166388297614579,0.569058978240554,"linear"
"30",38.4715903010033,-1.00688546698613,-2.11473142191011,0.100960487937843,0.565021640262438,"linear"
"31",38.8652399665552,-1.06316658568159,-2.16380196558514,0.0374687942219643,0.56134411550625,"linear"
"32",39.258889632107,-1.11816886706401,-2.21226601413269,-0.0240717199953318,0.558009497525874,"linear"
"33",39.6525392976589,-1.17184409888667,-2.26004236188823,-0.0836458358851098,0.555000959076544,"linear"
"34",40.0461889632107,-1.22414406890281,-2.30705008422246,-0.141238053583165,0.552301816246606,"linear"
"35",40.4398386287625,-1.2750205648657,-2.35320865687612,-0.196832472855283,0.549895589320411,"linear"
"36",40.8334882943144,-1.32442537452859,-2.39843806754452,-0.25041268151266,0.54776605968849,"linear"
"37",41.2271379598662,-1.37231028564474,-2.44265891862851,-0.301961652660964,0.5458973222524,"linear"
"38",41.6207876254181,-1.41862708596741,-2.48579252033161,-0.351461651603204,0.544273832905963,"linear"
"39",42.0144372909699,-1.46332756324985,-2.52776097354277,-0.398894152956925,0.542880450807008,"linear"
"40",42.4080869565217,-1.50636350524533,-2.56848724219216,-0.444239768298489,0.541702475280107,"linear"
"41",42.8017366220736,-1.54768669970709,-2.60789521499521,-0.487478184418977,0.540725677307188,"linear"
"42",43.1953862876254,-1.58724893438841,-2.6459097567049,-0.528588112071916,0.539936325667131,"linear"
"43",43.5890359531773,-1.62500199704253,-2.68245674916838,-0.567547244916674,0.539321207875387,"linear"
"44",43.9826856187291,-1.66089767542271,-2.71746312263193,-0.60433222821349,0.53886764615008,"linear"
"45",44.3763352842809,-1.69488775728222,-2.75085687785591,-0.638918636708523,0.538563508691041,"linear"
"46",44.7699849498328,-1.7269240303743,-2.78256709969098,-0.671280961057621,0.538397216603925,"linear"
"47",45.1636346153846,-1.75695828245222,-2.81252396282944,-0.701392602075007,0.538357746833492,"linear"
"48",45.5572842809365,-1.78494230126924,-2.84065873048415,-0.729225872054331,0.538434631489849,"linear"
"49",45.9509339464883,-1.8108278745786,-2.86690374676473,-0.754752002392482,0.538617953960156,"linear"
"50",46.3445836120401,-1.83456679013358,-2.89119242351982,-0.777941156747342,0.538898342197945,"linear"
"51",46.738233277592,-1.85611083568742,-2.91345922239867,-0.798762448976178,0.539266959574202,"linear"
"52",47.1318829431438,-1.87541179899339,-2.93363963285685,-0.817183965129932,0.539715493659884,"linear"
"53",47.5255326086957,-1.89242146780474,-2.95167014679479,-0.833172788814702,0.540236143291099,"linear"
"54",47.9191822742475,-1.90709162987473,-2.96748823047379,-0.846695029275676,0.540821604245789,"linear"
"55",48.3128319397993,-1.91937407295662,-2.9810322943069,-0.857715851606344,0.541465053836479,"linear"
